4ah7_opt_0042.pdb, 52.822, 8.899, 76.438, 74.304, 43.933, 174.814
4ah7_opt_0005.pdb, 52.822, 8.899, 76.438, 74.304, 43.933, 174.814
4ah7_opt_0092.pdb, 52.822, 8.899, 76.438, 74.304, 43.933, 174.814
4ah7_opt_0047.pdb, 55.835, 13.039, 72.609, 78.884, 51.985, 171.275
4ah7_opt_0079.pdb, 55.947, 13.076, 72.441, 79.204, 53.852, 170.043
4ah7_opt_0031.pdb, 55.947, 13.076, 72.441, 79.204, 53.852, 170.043
4ah7_opt_0039.pdb, 52.822, 8.899, 76.438, 74.304, 43.933, 174.814
4ah7_opt_0076.pdb, 55.835, 13.039, 72.609, 78.884, 51.985, 171.275
4ah7_opt_0091.pdb, 55.947, 13.076, 72.441, 79.204, 53.852, 170.043
4ah7_opt_0043.pdb, 52.822, 8.899, 76.438, 74.304, 43.933, 174.814
